"LABNR","C14AGE","C14STD","C13","METHOD","MATERIAL","COUNTRY","SITE","FEATURE","FEATURE_DESC","DEPTH","LAT","LONG","PHASE","LITHICS","POTTERY","IRON","FRUIT","ZOO","CLASS","REMARK","SOURCE"
"KI-2876",1980,41,"-25.5","","Charcoal","COG","Munda","MUN 87/2-1-3","Pit","0.1",1.163,17.357,"","-","Pikunda-Munda","","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2877",1980,100,"-26.9","","Charcoal","COG","Pikunda","PIK 87/1","Pit","1.47",0.55,16.636,"","-","Pikunda-Munda; Lusako","","-","-","Ia","","Eggert 1992: 16 Tab. 3; Wotzka 1995; Seidensticker 2017"
"KI-2877",1980,100,"-26.9","","Charcoal","COG","Pikunda","PIK 87/1","Pit","1.47",0.55,16.636,"","-","Pikunda-Munda; Lusako","","-","-","Ia","","Eggert 1992: 16 Tab. 3; Wotzka 1995; Seidensticker 2017"
"KI-2881",1990,45,"-25.1","","Charcoal_endocarp_elaeis","COG","Munda","MUN 87/2-1-1","Pit","0.6",1.163,17.357,"","-","Pikunda-Munda","","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2884",250,40,"","","Charcoal","COG","Munda","MUN 87/1-0-2","Pit","0.55",1.163,17.357,"","-","Ebambe","slag","","-","Ia","","Seidensticker 2017"
"KI-2885",1800,90,"-27.3","","Charcoal","COG","Munda","MUN 87/2-1-1","Pit; Furnace","0.29",1.163,17.357,"","-","Pikunda-Munda","object; slag","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2886",1910,80,"-26.1","","Charcoal","COG","Munda","MUN 87/2-1-1","Pit","0.65",1.163,17.357,"","-","Pikunda-Munda","","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2887",2020,180,"-28.3","","Charcoal","COG","Munda","MUN 87/2-1-1","Pit; Furnace","0.69",1.163,17.357,"","-","Pikunda-Munda","object; slag","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2888",1990,65,"-25.8","","Charcoal","COG","Munda","MUN 87/2-1-3","Pit","0.6",1.163,17.357,"","-","Pikunda-Munda","-","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2889",1650,80,"-28","","Charcoal","COG","Munda","MUN 87/3","-","0.05",1.163,17.357,"","-","Pikunda-Munda","slag","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2890",1680,90,"-27.9","","Charcoal","COG","Munda","MUN 87/3","-","",1.163,17.357,"","-","Pikunda-Munda","slag","Eg","","Ia","","Eggert 1992: 16 Tab. 3; Eggert 1993; Seidensticker 2017"
"KI-2891",600,75,"","","Charcoal","COG","Pikunda","PIK 87/1","Pit","0.18",0.55,16.636,"","-","Mandombe","object; slag","","-","Ia","","Seidensticker 2017"
"KI-2894",2270,160,"-29.3","","Charcoal","COG","Mobaka","MKA 87/102","-","",-0.367,17.135,"","-","Imbonga","-","","-","Ia","","Eggert 1992: 20 Tab. 4; Eggert 1993; Seidensticker 2017"
"KI-2895",2230,100,"-27.8","","Charcoal","COG","Mitula","MIT 87/103","-","",0.292,17.047,"","-","Imbonga","-","","-","Ia","","Eggert 1992: 20 Tab. 4; Eggert 1993; Seidensticker 2017"
"KN-4203",230,110,"","","Charcoal","COD","Bolondo","BLD 83/2","-","",-0.306,21.253,"","-","Bolondo","-","-","","Ia","","Wotzka 1995: 180-181; Seidensticker 2017: Tab. 21; Bleasdale et al. 2020: Suppl. Tab. 1"
